Achlys triphylla
Anaphalis margaritacea
Arnica cordifolia
Aruncus dioicus
Campanula rotundifolia
Castilleja miniata
Cicuta douglasii
Clintonia uniflora
Comarum palustre
Coptis trifolia
Cornus canadensis
Dicentra formosa
Epilobium angustifolium
Fragaria virginiana
Geum macrophyllum
Goodyera oblongifolia
Listera cordata
Lupinus nootkatensis
Maianthemum dilatatum
Maianthemum racemosum
Maianthemum stellatum
Menyanthes trifoliata
Orthilia secunda
Pyrola asarifolia
Rubus pedatus
Streptopus amplexifolius
Streptopus lanceolatus var. curvipes
Tiarella trifoliata var. trifoliata
Tiarella trifoliata var. unifoliata
Urtica dioica
Veratrum viride
