Acer glabrum
Cornus stolonifera
Corylus cornuta
Elliottia pyroliflora
Gaultheria shallon
Holodiscus discolor
Mahonia aquifolium
Mahonia nervosa
Menziesia ferruginea
Oemleria cerasiformis
Oplopanax horridus
Rhododendron albiflorum
Rhododendron groenlandicum
Rosa gymnocarpa
Rosa nutkana
Rubus parviflorus
Rubus spectabilis
Sambucus racemosa
Sorbus sitchensis
Spiraea douglasii
Symphoricarpos albus
Vaccinium alaskaense
Vaccinium membranaceum
Vaccinium ovalifolium
Vaccinium parvifolium
Gaultheria ovatifolia
Kalmia microphylla
Linnaea borealis
Luetkea pectinata
Phyllodoce empetriformis
Rubus ursinus
Achlys triphylla
Anaphalis margaritacea
Arnica cordifolia
Aruncus dioicus
Campanula rotundifolia
Castilleja miniata
Cicuta douglasii
Clintonia uniflora
Comarum palustre
Coptis trifolia
Cornus canadensis
Dicentra formosa
Epilobium angustifolium
Fragaria virginiana
Geum macrophyllum
Goodyera oblongifolia
Listera cordata
Lupinus nootkatensis
Maianthemum dilatatum
Maianthemum racemosum
Maianthemum stellatum
Menyanthes trifoliata
Orthilia secunda
Pyrola asarifolia
Rubus pedatus
Streptopus amplexifolius
Streptopus lanceolatus var. curvipes
Tiarella trifoliata var. trifoliata
Tiarella trifoliata var. unifoliata
Urtica dioica
Veratrum viride
Athyrium filix-femina
Blechnum spicant
Dryopteris expansa
Gymnocarpium dryopteris
Lycopodium clavatum
Polypodium glycyrrhiza
Polystichum munitum
Pteridium aquilinum
Digitalis purpurea
Fallopia japonica
Ilex aquifolium
Impatiens glandulifera
Rubus armeniacus
Rubus laciniatus
